"filename", "language", "Markdown", "JSON", "PHP", "JavaScript", "CSS", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 5064, 0, 0, 655, 596, 6315
"c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 3568, 0, 0, 578, 302, 4448
"c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.js", "JavaScript", 0, 0, 0, 3604, 0, 0, 584, 307, 4495
"c:\xampp\htdocs\GYM-UPC\boostrap\Js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 3893, 0, 6, 192, 4091
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 3886, 0, 6, 192, 4084
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 518, 0, 14, 65, 597
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 524, 0, 6, 64, 594
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 4891, 0, 8, 503, 5402
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 4887, 0, 6, 500, 5393
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.css", "CSS", 0, 0, 0, 0, 11136, 0, 24, 897, 12057
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 4, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 11138, 0, 6, 886, 12030
"c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 2, 0, 4, 0, 6
"c:\xampp\htdocs\GYM-UPC\boostrap\css\style.css", "CSS", 0, 0, 0, 0, 82, 0, 2, 16, 100
"c:\xampp\htdocs\GYM-UPC\css\Apartarcupos.css", "CSS", 0, 0, 0, 0, 305, 0, 2, 72, 379
"c:\xampp\htdocs\GYM-UPC\css\activar_afiliados.css", "CSS", 0, 0, 0, 0, 342, 0, 3, 47, 392
"c:\xampp\htdocs\GYM-UPC\css\bienvenida.css", "CSS", 0, 0, 0, 0, 332, 0, 3, 59, 394
"c:\xampp\htdocs\GYM-UPC\css\configuracion.css", "CSS", 0, 0, 0, 0, 214, 0, 2, 46, 262
"c:\xampp\htdocs\GYM-UPC\css\estilos.css", "CSS", 0, 0, 0, 0, 52, 0, 1, 14, 67
"c:\xampp\htdocs\GYM-UPC\css\estilos_Recuperar.css", "CSS", 0, 0, 0, 0, 79, 0, 1, 22, 102
"c:\xampp\htdocs\GYM-UPC\css\imc.css", "CSS", 0, 0, 0, 0, 258, 0, 8, 48, 314
"c:\xampp\htdocs\GYM-UPC\css\leerqr.css", "CSS", 0, 0, 0, 0, 143, 0, 4, 33, 180
"c:\xampp\htdocs\GYM-UPC\css\listado.css", "CSS", 0, 0, 0, 0, 328, 0, 3, 52, 383
"c:\xampp\htdocs\GYM-UPC\css\perfil.css", "CSS", 0, 0, 0, 0, 382, 0, 3, 74, 459
"c:\xampp\htdocs\GYM-UPC\css\plan.css", "CSS", 0, 0, 0, 0, 235, 0, 4, 62, 301
"c:\xampp\htdocs\GYM-UPC\css\qr.css", "CSS", 0, 0, 0, 0, 107, 0, 3, 24, 134
"c:\xampp\htdocs\GYM-UPC\css\registros.css", "CSS", 0, 0, 0, 0, 359, 0, 3, 69, 431
"c:\xampp\htdocs\GYM-UPC\css\rutinas.css", "CSS", 0, 0, 0, 0, 223, 0, 4, 31, 258
"c:\xampp\htdocs\GYM-UPC\css\seccionrutinas.css", "CSS", 0, 0, 0, 0, 359, 0, 3, 62, 424
"c:\xampp\htdocs\GYM-UPC\img\desktop.ini", "Ini", 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\xampp\htdocs\GYM-UPC\img\logo\desktop.ini", "Ini", 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\xampp\htdocs\GYM-UPC\index.php", "PHP", 0, 0, 398, 0, 0, 0, 3, 13, 414
"c:\xampp\htdocs\GYM-UPC\js\Adm\Listado.js", "JavaScript", 0, 0, 0, 59, 0, 0, 6, 7, 72
"c:\xampp\htdocs\GYM-UPC\js\Bienvenida.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\xampp\htdocs\GYM-UPC\js\enlistar.js", "JavaScript", 0, 0, 0, 11, 0, 0, 1, 1, 13
"c:\xampp\htdocs\GYM-UPC\js\instructor\LeerQR.js", "JavaScript", 0, 0, 0, 58, 0, 0, 13, 19, 90
"c:\xampp\htdocs\GYM-UPC\js\instructor\Listado.js", "JavaScript", 0, 0, 0, 62, 0, 0, 7, 8, 77
"c:\xampp\htdocs\GYM-UPC\js\instructor\qrCode.min.js", "JavaScript", 0, 0, 0, 88, 0, 0, 19, 0, 107
"c:\xampp\htdocs\GYM-UPC\js\script.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 5, 48
"c:\xampp\htdocs\GYM-UPC\js\usuarios\Apartar_cupos.js", "JavaScript", 0, 0, 0, 75, 0, 0, 2, 10, 87
"c:\xampp\htdocs\GYM-UPC\js\usuarios\Configuracion_user.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\xampp\htdocs\GYM-UPC\js\usuarios\Generar_Qr.js", "JavaScript", 0, 0, 0, 19, 0, 0, 10, 9, 38
"c:\xampp\htdocs\GYM-UPC\js\usuarios\imc.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 2, 46
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\activar_afiliados.php", "PHP", 0, 0, 300, 0, 0, 0, 3, 18, 321
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\actividades.php", "PHP", 0, 0, 291, 0, 0, 0, 2, 15, 308
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\asignar_instructor.php", "PHP", 0, 0, 322, 0, 0, 0, 4, 16, 342
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\capacidad.php", "PHP", 0, 0, 296, 0, 0, 0, 4, 16, 316
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\enlistar.php", "PHP", 0, 0, 212, 0, 0, 0, 1, 12, 225
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\perfil.php", "PHP", 0, 0, 435, 0, 0, 0, 0, 21, 456
"c:\xampp\htdocs\GYM-UPC\paginas\Administrador\registrar.php", "PHP", 0, 0, 311, 0, 0, 0, 1, 11, 323
"c:\xampp\htdocs\GYM-UPC\paginas\index\NuevaContrasena.php", "PHP", 0, 0, 151, 0, 0, 0, 2, 15, 168
"c:\xampp\htdocs\GYM-UPC\paginas\index\Olvidecontraseña.php", "PHP", 0, 0, 149, 0, 0, 0, 1, 16, 166
"c:\xampp\htdocs\GYM-UPC\paginas\index\Verificacion_correo.php", "PHP", 0, 0, 144, 0, 0, 0, 3, 15, 162
"c:\xampp\htdocs\GYM-UPC\paginas\instructor\leer_qr.php", "PHP", 0, 0, 275, 0, 0, 0, 2, 12, 289
"c:\xampp\htdocs\GYM-UPC\paginas\instructor\listar.php", "PHP", 0, 0, 190, 0, 0, 0, 1, 9, 200
"c:\xampp\htdocs\GYM-UPC\paginas\instructor\perfil.php", "PHP", 0, 0, 416, 0, 0, 0, 0, 18, 434
"c:\xampp\htdocs\GYM-UPC\paginas\usuarios\Configuracion.php", "PHP", 0, 0, 443, 0, 0, 0, 1, 23, 467
"c:\xampp\htdocs\GYM-UPC\paginas\usuarios\apartar_cupos.php", "PHP", 0, 0, 410, 0, 0, 0, 2, 11, 423
"c:\xampp\htdocs\GYM-UPC\paginas\usuarios\imc.php", "PHP", 0, 0, 242, 0, 0, 0, 0, 5, 247
"c:\xampp\htdocs\GYM-UPC\paginas\usuarios\qr.php", "PHP", 0, 0, 254, 0, 0, 0, 2, 12, 268
"c:\xampp\htdocs\GYM-UPC\paginas\view\bienvenida.php", "PHP", 0, 0, 347, 0, 0, 0, 0, 9, 356
"c:\xampp\htdocs\GYM-UPC\paginas\view\habitos.php", "PHP", 0, 0, 318, 0, 0, 0, 0, 13, 331
"c:\xampp\htdocs\GYM-UPC\paginas\view\predefinidas.php", "PHP", 0, 0, 488, 0, 0, 0, 0, 8, 496
"c:\xampp\htdocs\GYM-UPC\paginas\view\rutinas.php", "PHP", 0, 0, 350, 0, 0, 0, 0, 7, 357
"c:\xampp\htdocs\GYM-UPC\paginas\view\tren_inferior.php", "PHP", 0, 0, 475, 0, 0, 0, 0, 12, 487
"c:\xampp\htdocs\GYM-UPC\paginas\view\tren_superior.php", "PHP", 0, 0, 572, 0, 0, 0, 0, 14, 586
"c:\xampp\htdocs\GYM-UPC\paginas\view\valores.php", "PHP", 0, 0, 360, 0, 0, 0, 0, 11, 371
"c:\xampp\htdocs\GYM-UPC\php\Activacion.php", "PHP", 0, 0, 36, 0, 0, 0, 4, 4, 44
"c:\xampp\htdocs\GYM-UPC\php\Activar_Afiliado.php", "PHP", 0, 0, 63, 0, 0, 0, 9, 5, 77
"c:\xampp\htdocs\GYM-UPC\php\Actividad.php", "PHP", 0, 0, 93, 0, 0, 0, 5, 4, 102
"c:\xampp\htdocs\GYM-UPC\php\Actualizar_Contraseña.php", "PHP", 0, 0, 94, 0, 0, 0, 8, 7, 109
"c:\xampp\htdocs\GYM-UPC\php\Adm\Buscar.php", "PHP", 0, 0, 26, 0, 0, 0, 7, 6, 39
"c:\xampp\htdocs\GYM-UPC\php\Adm\Listar.php", "PHP", 0, 0, 22, 0, 0, 0, 4, 10, 36
"c:\xampp\htdocs\GYM-UPC\php\Adm\asignar_instructor.php", "PHP", 0, 0, 32, 0, 0, 0, 8, 9, 49
"c:\xampp\htdocs\GYM-UPC\php\Adm\capacidad.php", "PHP", 0, 0, 35, 0, 0, 0, 6, 6, 47
"c:\xampp\htdocs\GYM-UPC\php\Capacidad.php", "PHP", 0, 0, 53, 0, 0, 0, 4, 2, 59
"c:\xampp\htdocs\GYM-UPC\php\Conexion_bc.php", "PHP", 0, 0, 20, 0, 0, 0, 6, 2, 28
"c:\xampp\htdocs\GYM-UPC\php\Conexion_json.php", "PHP", 0, 0, 15, 0, 0, 0, 1, 5, 21
"c:\xampp\htdocs\GYM-UPC\php\Cupos.php", "PHP", 0, 0, 168, 0, 0, 0, 17, 16, 201
"c:\xampp\htdocs\GYM-UPC\php\Eliminar_cuenta.php", "PHP", 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\xampp\htdocs\GYM-UPC\php\Generar_qr.php", "PHP", 0, 0, 22, 0, 0, 0, 2, 2, 26
"c:\xampp\htdocs\GYM-UPC\php\Instrcutor.php", "PHP", 0, 0, 51, 0, 0, 0, 2, 4, 57
"c:\xampp\htdocs\GYM-UPC\php\Instructor\Listar.php", "PHP", 0, 0, 26, 0, 0, 0, 5, 6, 37
"c:\xampp\htdocs\GYM-UPC\php\Leer_QR.php", "PHP", 0, 0, 89, 0, 0, 0, 6, 5, 100
"c:\xampp\htdocs\GYM-UPC\php\Login.php", "PHP", 0, 0, 113, 0, 0, 0, 8, 13, 134
"c:\xampp\htdocs\GYM-UPC\php\Registros_usuarios.php", "PHP", 0, 0, 148, 0, 0, 0, 23, 5, 176
"c:\xampp\htdocs\GYM-UPC\php\Sancion.php", "PHP", 0, 0, 41, 0, 0, 0, 3, 5, 49
"c:\xampp\htdocs\GYM-UPC\php\Validar_usuario.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\xampp\htdocs\GYM-UPC\php\Verificacion_fechas.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\xampp\htdocs\GYM-UPC\php\destruir_sesion.php", "PHP", 0, 0, 21, 0, 0, 0, 6, 4, 31
"c:\xampp\htdocs\GYM-UPC\php\index\cerrar_sesion.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\xampp\htdocs\GYM-UPC\php\perfil.php", "PHP", 0, 0, 102, 0, 0, 0, 4, 13, 119
"c:\xampp\htdocs\GYM-UPC\php\seguimientos.php", "PHP", 0, 0, 59, 0, 0, 0, 8, 4, 71
"c:\xampp\htdocs\GYM-UPC\php\usuario\Actualizar_cupos.php", "PHP", 0, 0, 73, 0, 0, 0, 9, 5, 87
"c:\xampp\htdocs\GYM-UPC\php\vendor_Recuperarcontraseña.php", "PHP", 0, 0, 41, 0, 0, 0, 9, 5, 55
"c:\xampp\htdocs\GYM-UPC\php\vendor_validar.php", "PHP", 0, 0, 35, 0, 0, 0, 5, 4, 44
"c:\xampp\htdocs\GYM-UPC\vendor\autoload.php", "PHP", 0, 0, 20, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\GYM-UPC\vendor\composer\ClassLoader.php", "PHP", 0, 0, 286, 0, 0, 0, 235, 59, 580
"c:\xampp\htdocs\GYM-UPC\vendor\composer\InstalledVersions.php", "PHP", 0, 0, 178, 0, 0, 0, 133, 49, 360
"c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_classmap.php", "PHP", 0, 0, 6, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_namespaces.php", "PHP", 0, 0, 5, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_psr4.php", "PHP", 0, 0, 6, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_real.php", "PHP", 0, 0, 25, 0, 0, 0, 4, 10, 39
"c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_static.php", "PHP", 0, 0, 28, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\GYM-UPC\vendor\composer\installed.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 1, 91
"c:\xampp\htdocs\GYM-UPC\vendor\composer\installed.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\GYM-UPC\vendor\composer\platform_check.php", "PHP", 0, 0, 21, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\GYM-UPC\vendor\phpmailer\phpmailer\docs\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 4, 9
"Total", "-", 5, 90, 10367, 12740, 44683, 14, 2636, 5945, 76480